"sample","experiment_accession","run_accession","sample_accession","experiment_alias","run_alias","sample_alias","experiment_title","sample_title","sample_description"
"SRX5235447","SRX5235447","SRR8427558","SAMN10722102","B937-M04","B937-M04","B937-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B937-M04","Collection Country: USA Collection Year: 2013"
"SRX5235448","SRX5235448","SRR8427559","SAMN10722103","B453-M05","B453-M05","B453-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B453-M05","Collection Country: USA Collection Year: 2012"
"SRX5235449","SRX5235449","SRR8427560","SAMN10722104","B988-M03","B988-M03","B988-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B988-M03","Collection Country: USA Collection Year: 2012"
"SRX5235450","SRX5235450","SRR8427561","SAMN10722105","B122-M05","B122-M05","B122-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B122-M05","Collection Country: USA Collection Year: 2012"
"SRX5235451","SRX5235451","SRR8427562","SAMN10722106","B900-M03","B900-M03","B900-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B900-M03","Collection Country: USA Collection Year: 2012-2014"
"SRX5235452","SRX5235452","SRR8427563","SAMN10722107","B988-M05","B988-M05","B988-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B988-M05","Collection Country: USA Collection Year: 2012"
"SRX5235453","SRX5235453","SRR8427564","SAMN10722108","B287-M04","B287-M04","B287-M04","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B287-M04","Collection Country: USA Collection Year: 2012"
"SRX5235454","SRX5235454","SRR8427565","SAMN10722109","B956-M05","B956-M05","B956-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B956-M05","Collection Country: USA Collection Year: 2012"
"SRX5235455","SRX5235455","SRR8427566","SAMN10722110","B148-M05","B148-M05","B148-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B148-M05","Collection Country: USA Collection Year: 2012"
"SRX5235456","SRX5235456","SRR8427567","SAMN10722111","B122-M12","B122-M12","B122-M12","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B122-M12","Collection Country: USA Collection Year: 2013"
"SRX5235457","SRX5235457","SRR8427568","SAMN10722112","B635-M05","B635-M05","B635-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B635-M05","Collection Country: USA Collection Year: 2013"
"SRX5235458","SRX5235458","SRR8427569","SAMN10722113","B425-M05","B425-M05","B425-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B425-M05","Collection Country: USA Collection Year: 2012"
"SRX5235459","SRX5235459","SRR8427570","SAMN10722114","B230-M05","B230-M05","B230-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B230-M05","Collection Country: USA Collection Year: 2012"
"SRX5235460","SRX5235460","SRR8427571","SAMN10722115","B977-M05","B977-M05","B977-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B977-M05","Collection Country: USA Collection Year: 2012"
