SRS5179522.SRR9865702	sra-paired:SRR9865702
SRS5179521.SRR9865703	sra-paired:SRR9865703
SRS5179508.SRR9865716	sra-paired:SRR9865716
SRS5179507.SRR9865717	sra-paired:SRR9865717
SRS5179510.SRR9865714	sra-paired:SRR9865714
SRS5179374.SRR9865513	sra-paired:SRR9865513
SRS5179375.SRR9865514	sra-paired:SRR9865514
SRS5179373.SRR9865515	sra-paired:SRR9865515
SRS5179372.SRR9865516	sra-paired:SRR9865516
SRS5179371.SRR9865517	sra-paired:SRR9865517
SRS5179370.SRR9865518	sra-paired:SRR9865518
SRS5179305.SRR9865583	sra-paired:SRR9865583
SRS5179303.SRR9865584	sra-paired:SRR9865584
SRS5179304.SRR9865585	sra-paired:SRR9865585
SRS5179302.SRR9865586	sra-paired:SRR9865586
SRS5179301.SRR9865413	sra-paired:SRR9865413
SRS5179300.SRR9865414	sra-paired:SRR9865414
SRS5179298.SRR9865415	sra-paired:SRR9865415
SRS5179299.SRR9865416	sra-paired:SRR9865416
SRS5179315.SRR9865573	sra-paired:SRR9865573
SRS5179314.SRR9865574	sra-paired:SRR9865574
SRS5179445.SRR9865611	sra-paired:SRR9865611
SRS5179454.SRR9865602	sra-paired:SRR9865602
SRS5179573.SRR9865825	sra-paired:SRR9865825
SRS5179572.SRR9865826	sra-paired:SRR9865826
SRS5179583.SRR9865815	sra-paired:SRR9865815
SRS5179574.SRR9865824	sra-paired:SRR9865824
SRS5179585.SRR9865813	sra-paired:SRR9865813
SRS5179584.SRR9865814	sra-paired:SRR9865814
SRS5179604.SRR9865794	sra-paired:SRR9865794
SRS5179602.SRR9865796	sra-paired:SRR9865796
SRS5179529.SRR9865695	sra-paired:SRR9865695
SRS5179492.SRR9865731	sra-paired:SRR9865731
SRS5179494.SRR9865730	sra-paired:SRR9865730
SRS5179532.SRR9865692	sra-paired:SRR9865692
SRS5179533.SRR9865691	sra-paired:SRR9865691
SRS5179534.SRR9865690	sra-paired:SRR9865690
SRS5179543.SRR9865681	sra-paired:SRR9865681
SRS5179544.SRR9865680	sra-paired:SRR9865680
SRS5179545.SRR9865679	sra-paired:SRR9865679
SRS5179435.SRR9865621	sra-paired:SRR9865621
SRS5179379.SRR9865509	sra-paired:SRR9865509
SRS5179377.SRR9865510	sra-paired:SRR9865510
SRS5179378.SRR9865511	sra-paired:SRR9865511
SRS5179376.SRR9865512	sra-paired:SRR9865512
SRS5179313.SRR9865575	sra-paired:SRR9865575
SRS5179296.SRR9865418	sra-paired:SRR9865418
SRS5179297.SRR9865417	sra-paired:SRR9865417
SRS5179594.SRR9865804	sra-paired:SRR9865804
SRS5179593.SRR9865805	sra-paired:SRR9865805
SRS5179592.SRR9865806	sra-paired:SRR9865806
SRS5179591.SRR9865807	sra-paired:SRR9865807
SRS5179582.SRR9865816	sra-paired:SRR9865816
SRS5179581.SRR9865817	sra-paired:SRR9865817
SRS5179580.SRR9865818	sra-paired:SRR9865818
