SRS11692821	sra-paired:SRR17643923
SRS11692822	sra-paired:SRR17643924
SRS11692820	sra-paired:SRR17643925
SRS11692819	sra-paired:SRR17643926
SRS11692818	sra-paired:SRR17643927
SRS11692817	sra-paired:SRR17643928
SRS11692815	sra-paired:SRR17643929
SRS11692816	sra-paired:SRR17643930
SRS11692814	sra-paired:SRR17643931
SRS11692812	sra-paired:SRR17643932
SRS11692813	sra-paired:SRR17643933
SRS11692811	sra-paired:SRR17643934
SRS11692810	sra-paired:SRR17643935
SRS11692809	sra-paired:SRR17643936
SRS11692808	sra-paired:SRR17643937
SRS11692806	sra-paired:SRR17643938
SRS11692807	sra-paired:SRR17643939
SRS11692805	sra-paired:SRR17643940
SRS11692804	sra-paired:SRR17643941
SRS11692803	sra-paired:SRR17643942
SRS11692802	sra-paired:SRR17643943
SRS11692801	sra-paired:SRR17643944
SRS11692800	sra-paired:SRR17643945
SRS11692799	sra-paired:SRR17643946
SRS11692798	sra-paired:SRR17643947
SRS11692797	sra-paired:SRR17643948
SRS11692796	sra-paired:SRR17643949
SRS11692795	sra-paired:SRR17643950
SRS11692794	sra-paired:SRR17643951
SRS11692793	sra-paired:SRR17643952
SRS11692792	sra-paired:SRR17643953
SRS11692791	sra-paired:SRR17643954
SRS11692790	sra-paired:SRR17643955
SRS11692788	sra-paired:SRR17643956
SRS11692789	sra-paired:SRR17643957
SRS11692787	sra-paired:SRR17643958
SRS11692786	sra-paired:SRR17643959
SRS11692785	sra-paired:SRR17643960
SRS11692784	sra-paired:SRR17643961
SRS11692783	sra-paired:SRR17643962
SRS11692782	sra-paired:SRR17643963
SRS11692781	sra-paired:SRR17643964
SRS11692780	sra-paired:SRR17643965
SRS11692779	sra-paired:SRR17643966
SRS11692778	sra-paired:SRR17643967
SRS11692776	sra-paired:SRR17643968
SRS11692777	sra-paired:SRR17643969
SRS11692775	sra-paired:SRR17643970
SRS11692774	sra-paired:SRR17643971
SRS11692773	sra-paired:SRR17643972
SRS11692772	sra-paired:SRR17643973
SRS11692771	sra-paired:SRR17643974
SRS11692770	sra-paired:SRR17643975
SRS11692769	sra-paired:SRR17643976
SRS11692768	sra-paired:SRR17643977
SRS11692767	sra-paired:SRR17643978
SRS11692766	sra-paired:SRR17643979
SRS11692765	sra-paired:SRR17643980
SRS11692764	sra-paired:SRR17643981
SRS11692763	sra-paired:SRR17643982
SRS11692762	sra-paired:SRR17643983
SRS11692761	sra-paired:SRR17643984
SRS11692760	sra-paired:SRR17643985
SRS11692758	sra-paired:SRR17643986
SRS11692759	sra-paired:SRR17643987
SRS11692757	sra-paired:SRR17643988
SRS11692756	sra-paired:SRR17643989
SRS11692755	sra-paired:SRR17643990
SRS11692754	sra-paired:SRR17643991
SRS11692753	sra-paired:SRR17643992
SRS11692752	sra-paired:SRR17643993
SRS11692751	sra-paired:SRR17643994
SRS11692750	sra-paired:SRR17643995
SRS11692749	sra-paired:SRR17643996
SRS11692748	sra-paired:SRR17643997
SRS11692747	sra-paired:SRR17643998
SRS11692746	sra-paired:SRR17643999
SRS11692745	sra-paired:SRR17644000
SRS11692744	sra-paired:SRR17644001
SRS11692743	sra-paired:SRR17644002
SRS11692742	sra-paired:SRR17644003
SRS11692741	sra-paired:SRR17644004
SRS11692740	sra-paired:SRR17644005
SRS11692739	sra-paired:SRR17644006
SRS11692738	sra-paired:SRR17644007
SRS11692737	sra-paired:SRR17644008
SRS11692736	sra-paired:SRR17644009
SRS11692735	sra-paired:SRR17644010
SRS11692734	sra-paired:SRR17644011
SRS11692733	sra-paired:SRR17644012
SRS11692732	sra-paired:SRR17644013
SRS11692731	sra-paired:SRR17644014
SRS11692729	sra-paired:SRR17644015
SRS11692730	sra-paired:SRR17644016
SRS11692728	sra-paired:SRR17644017
SRS11692727	sra-paired:SRR17644018
SRS11692726	sra-paired:SRR17644019
SRS11692725	sra-paired:SRR17644020
SRS11692723	sra-paired:SRR17644021
SRS11692724	sra-paired:SRR17644022
SRS11692722	sra-paired:SRR17644023
SRS11692721	sra-paired:SRR17644024
SRS11692719	sra-paired:SRR17644025
SRS11692720	sra-paired:SRR17644026
SRS11692717	sra-paired:SRR17644027
SRS11692718	sra-paired:SRR17644028
SRS11692716	sra-paired:SRR17644029
SRS11692715	sra-paired:SRR17644030
SRS11692714	sra-paired:SRR17644031
SRS11692713	sra-paired:SRR17644032
SRS11692711	sra-paired:SRR17644033
SRS11692712	sra-paired:SRR17644034
SRS11692709	sra-paired:SRR17644035
SRS11692710	sra-paired:SRR17644036
SRS11692708	sra-paired:SRR17644037
SRS11692707	sra-paired:SRR17644038
SRS11692706	sra-paired:SRR17644039
SRS11692705	sra-paired:SRR17644040
SRS11692704	sra-paired:SRR17644041
SRS11692703	sra-paired:SRR17644042
SRS11692702	sra-paired:SRR17644043
SRS11692701	sra-paired:SRR17644044
SRS11692700	sra-paired:SRR17644045
SRS11692699	sra-paired:SRR17644046
SRS11692698	sra-paired:SRR17644047
SRS11692697	sra-paired:SRR17644048
SRS11692696	sra-paired:SRR17644049
SRS11692695	sra-paired:SRR17644050
SRS11692694	sra-paired:SRR17644051
SRS11692693	sra-paired:SRR17644052
SRS11692692	sra-paired:SRR17644053
SRS11692691	sra-paired:SRR17644054
SRS11692690	sra-paired:SRR17644055
SRS11692689	sra-paired:SRR17644056
SRS11692688	sra-paired:SRR17644057
SRS11692687	sra-paired:SRR17644058
SRS11692686	sra-paired:SRR17644059
SRS11692685	sra-paired:SRR17644060
